Customer ID,Age,Gender,Location,Marital Status,Household Income,Family Members,Education Level,Plan Type,Subscription Duration (months),Monthly Charges,Data Usage (GB),Voice Minutes Usage,SMS Usage,Preferred Communication Channel,Preferred Communication Time,Preferred Services/Features,Preferred Payment Method,Feedback Score,Interactions with Customer Service,Complaints Reported,Churn Label
77,24,Male,Miami,Widowed,132112,1,Associate's,Prepaid,20,117,25,617,455,Phone,Morning,Family Plan,Credit Card,8,1,2,1
78,61,Male,Chicago,Married,46715,5,High School,Prepaid,21,78,38,733,58,Phone,Evening,Unlimited Data,Bank Transfer,6,1,0,1
79,78,Male,Houston,Divorced,74409,4,Associate's,Prepaid,53,119,13,335,316,SMS,Anytime,Family Plan,Online,7,0,1,1
80,25,Male,Chicago,Single,54306,5,Bachelor's,Postpaid,22,109,4,1550,255,Phone,Morning,Family Plan,Bank Transfer,6,2,0,0
81,64,Female,Miami,Single,49086,5,Master's,Prepaid,35,86,14,215,298,SMS,Morning,Data Rollover,Online,9,2,1,1
82,52,Female,Los Angeles,Widowed,44376,5,Associate's,Prepaid,37,140,33,1286,295,SMS,Morning,Family Plan,Debit Card,5,2,1,0
83,31,Male,New York,Divorced,91350,1,High School,Postpaid,16,106,28,325,452,Email,Afternoon,Family Plan,Credit Card,6,1,2,0
84,34,Male,Houston,Married,101425,1,Master's,Postpaid,50,44,37,329,341,Phone,Evening,Family Plan,Bank Transfer,8,0,2,1
85,53,Male,Houston,Widowed,133358,5,High School,Postpaid,58,56,8,281,24,Phone,Afternoon,Family Plan,Online,7,3,0,1
86,67,Female,Chicago,Married,66636,1,Master's,Postpaid,49,97,44,1372,347,SMS,Anytime,Data Rollover,Debit Card,7,2,1,0
87,57,Female,Houston,Single,116120,4,Master's,Postpaid,43,109,34,1441,264,Email,Afternoon,Family Plan,Debit Card,5,2,2,1
88,21,Female,Miami,Married,144889,5,Associate's,Postpaid,17,93,44,309,101,Email,Morning,Unlimited Data,Online,5,3,2,0
89,19,Female,Miami,Married,81649,1,Bachelor's,Prepaid,16,123,5,1779,288,Phone,Afternoon,International Calling,Online,6,0,2,1
90,79,Female,Chicago,Widowed,64610,2,Associate's,Postpaid,58,137,5,1515,215,SMS,Morning,Unlimited Data,Online,9,2,2,1
91,23,Female,Miami,Married,40058,5,High School,Prepaid,55,59,31,1980,103,Phone,Evening,International Calling,Credit Card,8,0,0,0
92,71,Female,Los Angeles,Widowed,104637,5,High School,Prepaid,2,65,45,195,234,Phone,Afternoon,Unlimited Data,Online,7,2,0,0
93,59,Female,Chicago,Single,108033,4,Master's,Prepaid,4,96,9,993,310,Phone,Afternoon,International Calling,Online,5,4,2,0
94,21,Female,Los Angeles,Widowed,100194,3,Master's,Postpaid,21,115,42,1981,327,Phone,Afternoon,International Calling,Credit Card,8,2,2,1
95,71,Male,New York,Widowed,106917,3,Bachelor's,Prepaid,39,142,32,855,472,SMS,Morning,International Calling,Debit Card,9,4,2,1
96,46,Male,Los Angeles,Divorced,94200,4,Associate's,Postpaid,34,115,33,1209,208,Email,Morning,International Calling,Online,7,0,2,1
97,35,Male,New York,Married,135848,4,High School,Postpaid,30,143,3,514,280,Phone,Afternoon,Data Rollover,Bank Transfer,7,2,2,0
98,43,Male,New York,Single,136022,4,Master's,Prepaid,6,143,30,493,243,Phone,Afternoon,Unlimited Data,Debit Card,9,1,1,0
99,61,Female,Los Angeles,Widowed,76619,3,Bachelor's,Postpaid,17,148,12,795,55,Phone,Evening,International Calling,Bank Transfer,7,1,1,1
100,51,Female,Chicago,Single,47154,4,High School,Prepaid,39,78,29,1756,73,Phone,Evening,Unlimited Data,Online,9,3,1,0
101,27,Male,Miami,Divorced,49539,1,Master's,Prepaid,25,105,3,943,239,Email,Anytime,Family Plan,Credit Card,7,1,1,1
102,79,Female,Miami,Married,90058,5,High School,Postpaid,5,84,26,1624,439,Email,Evening,International Calling,Credit Card,6,4,2,0
103,53,Male,New York,Widowed,92068,5,Bachelor's,Prepaid,5,114,30,703,449,Email,Evening,Unlimited Data,Credit Card,9,1,1,1
104,31,Female,New York,Married,107313,2,Bachelor's,Prepaid,20,85,9,681,258,Email,Evening,Data Rollover,Online,8,1,1,1
105,48,Male,Chicago,Divorced,129932,2,High School,Prepaid,16,97,26,232,255,Phone,Morning,Unlimited Data,Online,6,1,0,1
106,65,Female,Houston,Divorced,60373,5,Associate's,Postpaid,51,124,2,890,437,SMS,Evening,International Calling,Bank Transfer,8,2,1,0
107,32,Female,Los Angeles,Single,63154,1,High School,Prepaid,41,73,3,748,84,Email,Evening,Family Plan,Credit Card,7,3,1,0
108,25,Male,New York,Widowed,36031,3,Master's,Postpaid,37,60,46,1437,166,Email,Afternoon,Unlimited Data,Online,8,0,2,1
109,31,Female,Miami,Single,123533,3,Associate's,Postpaid,40,87,4,1822,232,Phone,Morning,Family Plan,Debit Card,6,3,1,1
110,40,Male,Chicago,Divorced,101975,1,Master's,Prepaid,9,116,25,320,199,Phone,Anytime,Data Rollover,Online,9,4,1,1
111,77,Male,Los Angeles,Married,52785,3,High School,Prepaid,5,147,13,1075,482,Phone,Anytime,Unlimited Data,Online,5,2,2,1
112,74,Male,Chicago,Single,108928,4,Associate's,Postpaid,42,82,39,1561,61,Phone,Evening,Unlimited Data,Debit Card,8,2,1,1
113,79,Male,Los Angeles,Single,148696,5,Master's,Postpaid,57,113,44,1169,447,SMS,Anytime,Data Rollover,Credit Card,5,1,2,1
114,57,Female,Los Angeles,Married,58669,5,High School,Prepaid,2,108,35,1913,97,SMS,Anytime,Data Rollover,Debit Card,8,1,1,0
115,38,Female,New York,Single,124475,1,High School,Prepaid,9,52,23,1315,322,Email,Anytime,Data Rollover,Credit Card,8,4,0,0
116,33,Female,Chicago,Married,147154,3,Associate's,Postpaid,43,57,9,1643,348,SMS,Evening,International Calling,Debit Card,9,2,0,0
117,62,Male,Chicago,Widowed,32282,2,High School,Postpaid,36,45,2,1502,75,Email,Anytime,International Calling,Bank Transfer,7,0,1,0
118,35,Female,Miami,Married,64624,2,Bachelor's,Postpaid,22,66,41,887,159,Email,Evening,Unlimited Data,Credit Card,6,3,0,1
119,64,Male,Miami,Widowed,78438,3,Master's,Postpaid,22,50,44,790,29,SMS,Afternoon,Unlimited Data,Online,6,2,2,1
120,70,Female,New York,Married,119900,2,Master's,Postpaid,22,108,31,1457,42,Email,Afternoon,Unlimited Data,Bank Transfer,6,0,1,1
121,41,Female,New York,Divorced,97534,1,High School,Prepaid,34,46,44,138,337,Phone,Anytime,Family Plan,Credit Card,7,0,2,0
122,43,Female,Houston,Divorced,61705,1,High School,Postpaid,55,143,47,1416,290,Email,Afternoon,Data Rollover,Credit Card,5,3,0,0
123,42,Male,Miami,Widowed,68244,3,Bachelor's,Postpaid,29,66,2,789,55,Phone,Evening,Unlimited Data,Credit Card,6,0,2,1
124,77,Female,Los Angeles,Widowed,104964,2,Associate's,Prepaid,38,106,32,261,82,SMS,Afternoon,Data Rollover,Debit Card,5,4,0,0
125,77,Female,Chicago,Divorced,67437,1,High School,Prepaid,59,48,18,1454,363,SMS,Anytime,International Calling,Credit Card,7,0,0,0
126,77,Male,New York,Widowed,107872,1,High School,Postpaid,46,59,13,1227,322,Email,Evening,Data Rollover,Online,7,4,0,1
127,62,Female,Chicago,Married,104878,4,High School,Postpaid,33,74,46,260,352,Phone,Morning,Family Plan,Credit Card,9,0,2,1
128,58,Male,Chicago,Married,149006,4,High School,Prepaid,18,47,5,1922,142,Email,Evening,Family Plan,Online,6,1,0,1
129,46,Female,Houston,Divorced,135368,1,Master's,Postpaid,7,107,42,1758,64,SMS,Afternoon,Data Rollover,Online,9,0,1,0
130,32,Male,Miami,Single,102982,3,High School,Postpaid,1,91,44,1177,70,Email,Morning,Family Plan,Online,6,4,0,1
131,62,Male,New York,Married,80583,5,Master's,Prepaid,33,65,10,1157,354,Email,Evening,Family Plan,Bank Transfer,7,0,1,1
132,18,Female,Chicago,Widowed,68392,5,High School,Postpaid,1,129,43,341,17,Phone,Morning,International Calling,Online,7,0,1,1
133,42,Male,New York,Single,37461,1,Associate's,Prepaid,24,113,25,1066,281,SMS,Morning,Unlimited Data,Debit Card,8,0,1,0
134,24,Male,Los Angeles,Single,130123,1,Bachelor's,Prepaid,4,81,34,989,255,Email,Morning,Family Plan,Credit Card,8,4,1,0
135,26,Male,Houston,Married,40516,1,Associate's,Prepaid,4,48,37,212,185,Phone,Evening,Unlimited Data,Debit Card,7,0,2,1
136,41,Male,Los Angeles,Married,109285,3,High School,Prepaid,18,138,30,1113,125,Email,Afternoon,Data Rollover,Bank Transfer,7,3,1,1
137,18,Male,New York,Single,47514,4,High School,Postpaid,27,73,7,417,326,Phone,Evening,Data Rollover,Credit Card,5,3,0,0
138,61,Male,New York,Single,130962,1,High School,Prepaid,43,36,6,122,280,Phone,Afternoon,Family Plan,Online,5,4,1,0
139,25,Female,Miami,Divorced,66268,1,Associate's,Postpaid,59,73,3,1681,202,Email,Evening,Data Rollover,Credit Card,9,1,0,1
140,41,Male,Chicago,Widowed,120486,2,High School,Postpaid,32,146,13,923,159,SMS,Evening,International Calling,Bank Transfer,8,3,2,0
141,28,Male,Chicago,Divorced,130424,3,Associate's,Postpaid,33,97,3,1770,140,SMS,Evening,Family Plan,Bank Transfer,8,2,1,1
142,68,Female,Los Angeles,Married,66788,1,Master's,Postpaid,28,63,26,1241,111,Phone,Afternoon,Family Plan,Debit Card,7,3,0,1
143,34,Female,Houston,Divorced,105749,2,Bachelor's,Postpaid,42,95,24,800,319,SMS,Evening,Family Plan,Credit Card,7,2,2,0
144,25,Female,Chicago,Divorced,91049,5,Bachelor's,Prepaid,41,98,6,1766,279,Phone,Morning,Data Rollover,Credit Card,9,4,2,1
145,52,Female,Miami,Divorced,92493,1,Associate's,Prepaid,55,84,43,1118,301,SMS,Evening,Data Rollover,Credit Card,8,1,0,1
146,52,Female,Los Angeles,Divorced,66027,1,Master's,Prepaid,36,39,49,1335,219,Email,Morning,Family Plan,Debit Card,5,2,1,0
147,50,Female,Los Angeles,Widowed,123547,2,Associate's,Prepaid,6,125,42,1541,370,SMS,Anytime,Unlimited Data,Bank Transfer,6,2,2,1
148,76,Female,Miami,Widowed,72849,3,Master's,Postpaid,16,71,12,1236,347,Phone,Anytime,Data Rollover,Online,9,3,0,0
149,22,Male,Houston,Single,130127,1,High School,Prepaid,34,70,49,1167,76,Phone,Afternoon,Data Rollover,Credit Card,6,2,1,1
150,59,Male,Miami,Married,47858,5,Master's,Postpaid,23,106,36,227,19,SMS,Afternoon,Family Plan,Debit Card,5,4,2,1
151,56,Female,Houston,Divorced,114162,1,Master's,Postpaid,50,132,2,975,58,Email,Anytime,Unlimited Data,Debit Card,5,4,0,0
152,75,Male,Miami,Single,109003,5,Master's,Prepaid,42,98,11,257,496,Phone,Evening,Family Plan,Online,6,4,2,0
153,58,Male,Miami,Single,82395,4,Bachelor's,Prepaid,24,39,39,1908,120,Phone,Evening,Data Rollover,Bank Transfer,9,3,2,0
154,45,Male,New York,Single,69758,4,Master's,Prepaid,56,39,34,926,330,Phone,Evening,Family Plan,Credit Card,6,1,0,0
155,24,Female,Los Angeles,Widowed,84312,5,High School,Prepaid,49,131,26,1517,228,Phone,Anytime,Family Plan,Credit Card,9,3,2,0
156,26,Female,Miami,Divorced,98670,3,High School,Postpaid,13,120,18,1990,66,Phone,Morning,Family Plan,Debit Card,9,4,0,0
157,25,Male,Miami,Divorced,146758,1,High School,Postpaid,56,89,21,951,292,Email,Afternoon,Unlimited Data,Bank Transfer,7,3,1,1
158,29,Female,Chicago,Married,112279,1,Master's,Prepaid,18,80,36,611,468,SMS,Morning,Family Plan,Credit Card,8,4,0,0
159,51,Male,Los Angeles,Divorced,45434,4,Associate's,Postpaid,54,50,40,144,122,Email,Anytime,Data Rollover,Online,8,0,1,1
160,50,Male,Chicago,Divorced,94047,5,Associate's,Postpaid,13,37,46,1231,142,Email,Morning,Family Plan,Bank Transfer,5,0,2,0
161,65,Male,Los Angeles,Single,77775,1,High School,Postpaid,49,94,44,318,80,Phone,Evening,Unlimited Data,Bank Transfer,7,2,0,1
162,72,Male,Chicago,Married,105769,1,Bachelor's,Prepaid,37,121,22,542,92,Email,Evening,International Calling,Debit Card,8,1,0,1
163,40,Female,Miami,Divorced,144682,3,Associate's,Postpaid,43,142,30,1953,66,Phone,Morning,Unlimited Data,Debit Card,9,0,0,0
164,79,Female,Miami,Widowed,96677,2,Master's,Prepaid,39,132,43,414,385,Email,Anytime,Family Plan,Credit Card,9,4,0,1
165,41,Female,New York,Divorced,113555,4,Associate's,Prepaid,42,107,30,276,358,Phone,Morning,International Calling,Debit Card,6,3,1,1
166,54,Male,Chicago,Single,115920,4,High School,Postpaid,17,114,8,327,280,Phone,Evening,Family Plan,Bank Transfer,6,3,1,1
167,52,Female,Houston,Widowed,138439,2,Bachelor's,Postpaid,15,59,34,1826,492,Email,Evening,Unlimited Data,Credit Card,9,2,2,0
168,61,Male,New York,Single,75734,1,Associate's,Prepaid,18,114,47,1795,120,Email,Anytime,International Calling,Credit Card,9,3,2,0
169,57,Female,Chicago,Divorced,131665,3,Associate's,Postpaid,23,78,9,366,366,SMS,Morning,International Calling,Bank Transfer,6,0,2,1
170,39,Male,Chicago,Widowed,118503,3,High School,Postpaid,54,38,20,969,384,SMS,Evening,Family Plan,Credit Card,8,3,2,0
171,44,Male,New York,Married,70603,4,Bachelor's,Prepaid,51,46,40,937,85,SMS,Evening,Family Plan,Online,5,0,0,0
172,52,Male,Miami,Married,106708,3,Bachelor's,Prepaid,30,98,25,1502,167,Email,Morning,Unlimited Data,Online,6,0,1,1
173,18,Female,Chicago,Widowed,111926,2,High School,Prepaid,58,87,19,588,29,Email,Morning,Family Plan,Credit Card,8,1,1,1
174,52,Female,Miami,Widowed,98803,1,Master's,Prepaid,34,86,5,801,430,Phone,Afternoon,International Calling,Debit Card,8,2,1,0
175,54,Female,New York,Single,69332,2,Associate's,Postpaid,58,91,11,786,140,SMS,Anytime,Data Rollover,Online,8,4,1,0
176,64,Female,Miami,Widowed,121703,5,Master's,Postpaid,4,124,15,1413,338,Phone,Anytime,Data Rollover,Credit Card,7,0,2,0
177,31,Male,Los Angeles,Single,51312,4,Associate's,Prepaid,3,81,8,1095,131,Phone,Morning,Unlimited Data,Online,7,2,0,1
178,20,Female,Houston,Divorced,123376,3,Associate's,Prepaid,7,90,19,456,50,Phone,Anytime,Family Plan,Debit Card,8,4,1,0
179,18,Female,Chicago,Single,114526,5,Master's,Prepaid,56,69,23,1780,176,Phone,Evening,Unlimited Data,Bank Transfer,9,3,0,0
180,22,Male,Houston,Widowed,74179,3,High School,Postpaid,18,67,27,1867,419,SMS,Morning,Data Rollover,Credit Card,7,2,0,0
181,43,Male,Miami,Widowed,101442,1,High School,Prepaid,42,72,40,971,139,Phone,Morning,Data Rollover,Credit Card,6,2,0,1
182,72,Male,Chicago,Divorced,144332,1,Associate's,Postpaid,7,92,32,303,32,Email,Morning,Family Plan,Credit Card,7,2,0,1
183,31,Female,Miami,Widowed,147961,1,High School,Prepaid,40,48,26,1336,288,Email,Afternoon,International Calling,Credit Card,9,3,1,1
184,56,Male,Los Angeles,Widowed,70379,3,Associate's,Prepaid,6,129,27,651,260,Email,Anytime,Family Plan,Credit Card,5,3,1,0
185,44,Male,New York,Married,47297,5,High School,Prepaid,22,79,19,1910,478,SMS,Afternoon,Data Rollover,Credit Card,7,2,1,0
186,26,Male,Chicago,Married,32011,1,Associate's,Postpaid,58,62,42,422,409,Phone,Evening,International Calling,Debit Card,8,1,2,1
187,32,Female,Los Angeles,Divorced,146130,5,High School,Postpaid,1,42,29,693,18,SMS,Anytime,Unlimited Data,Bank Transfer,8,0,1,0
188,32,Male,Los Angeles,Single,74014,3,Bachelor's,Postpaid,4,107,39,280,22,Phone,Afternoon,Data Rollover,Debit Card,8,3,2,0
189,43,Female,Chicago,Married,142094,5,Master's,Prepaid,46,149,41,598,421,SMS,Morning,Unlimited Data,Debit Card,5,1,2,0
190,59,Female,Miami,Single,41738,3,Bachelor's,Postpaid,49,126,33,1443,420,SMS,Afternoon,International Calling,Bank Transfer,9,3,2,1
191,77,Male,Los Angeles,Widowed,124333,3,Master's,Postpaid,52,91,19,182,316,Phone,Morning,Unlimited Data,Debit Card,6,2,1,0
192,30,Male,Houston,Married,77498,4,Master's,Prepaid,50,122,37,402,329,SMS,Afternoon,Data Rollover,Online,9,1,1,0
193,68,Female,Los Angeles,Divorced,41120,3,Associate's,Prepaid,43,72,19,361,61,Phone,Afternoon,Family Plan,Debit Card,5,4,1,1
194,49,Male,Miami,Divorced,146517,3,Master's,Postpaid,29,78,33,883,218,Email,Afternoon,Unlimited Data,Credit Card,8,0,2,0
