gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Preference_Tenure,Preference_MonthlyCharges,Preference_TotalCharges,NonPreference_Tenure,NonPreference_MonthlyCharges,NonPreference_TotalCharges
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0.11827442586893322,0.499012664343811,0.9790812928656492,0.8817255741310668,0.500987335656189,0.020918707134350845
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0.6399210213275238,0.8951140528845675,0.2701225969201576,0.3600789786724762,0.10488594711543253,0.7298774030798424
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,0.1433532874090464,0.4290137108455464,0.8858286031353617,0.8566467125909536,0.5709862891544536,0.11417139686463829
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0.9446689170495839,0.6701677039030665,0.02006494798908731,0.05533108295041611,0.32983229609693354,0.9799350520109127
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0.5218483217500717,0.4245907720084303,0.4350402314360613,0.4781516782499283,0.5754092279915697,0.5649597685639387
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,0.4146619399905236,0.7080064803052764,0.8608886347822639,0.5853380600094764,0.29199351969472365,0.13911136521773615
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0.26455561210462697,0.6132248157403604,0.3021346698878361,0.735444387895373,0.38677518425963964,0.6978653301121639
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0.7742336894342167,0.4416034931874343,0.16934767381933202,0.22576631056578333,0.5583965068125657,0.830652326180668
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0.45615033221654855,0.5490219980298972,0.6588502940947246,0.5438496677834515,0.45097800197010285,0.3411497059052754
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0.5684339488686485,0.5981488937377232,0.9496467372856535,0.4315660511313515,0.4018511062622768,0.05035326271434648
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0.018789800436355142,0.8790582026047918,0.6283034530399805,0.9812101995636449,0.12094179739520816,0.3716965469600195
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0.6176354970758771,0.6768711887458937,0.09030753613737741,0.38236450292412294,0.3231288112541063,0.9096924638626226
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0.6120957227224214,0.7137544731778374,0.7490908725278697,0.3879042772775786,0.28624552682216264,0.25090912747213034
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0.6169339968747569,0.9699265919173937,0.005935057952418665,0.3830660031252431,0.03007340808260628,0.9940649420475813
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,0.9437480785146242,0.06766175696875143,0.5418630366692918,0.05625192148537583,0.9323382430312486,0.4581369633307082
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0.6818202991034834,0.18761356341794,0.849123691470037,0.3181797008965166,0.81238643658206,0.15087630852996303
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0.359507900573786,0.3181222930830262,0.4297568402076717,0.640492099426214,0.6818777069169738,0.5702431597923283
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0.43703195379934145,0.9460673436570871,0.21960902136977245,0.5629680462006585,0.05393265634291289,0.7803909786302275
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0.6976311959272649,0.2285550257603659,0.8769430510166122,0.30236880407273514,0.7714449742396341,0.12305694898338781
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0.06022547162926983,0.5650945727783936,0.1546180822412757,0.9397745283707302,0.4349054272216064,0.8453819177587243
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0.6667667154456677,0.11776113047139714,0.398086576939911,0.3332332845543323,0.8822388695286029,0.601913423060089
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0.6706378696181594,0.2706672037455027,0.46050555798133286,0.3293621303818406,0.7293327962544973,0.5394944420186671
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,0.2103825610738409,0.27610971471285073,0.0314678304902285,0.7896174389261591,0.7238902852871493,0.9685321695097715
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0.1289262976548533,0.7084662629270237,0.5250974071230563,0.8710737023451467,0.29153373707297625,0.4749025928769437
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0.31542835092418386,0.10882908193670515,0.6030924115473005,0.6845716490758161,0.8911709180632948,0.39690758845269947
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0.3637107709426226,0.7569844940686347,0.41571808231981444,0.6362892290573774,0.24301550593136534,0.5842819176801856
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0.5701967704178796,0.3035461858281844,0.03510509869754974,0.42980322958212036,0.6964538141718156,0.9648949013024503
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,0.43860151346232035,0.7334704221276805,0.11030550219123036,0.5613984865376797,0.26652957787231946,0.8896944978087696
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0.9883738380592262,0.3665611154142516,0.39227100860703,0.011626161940773816,0.6334388845857484,0.60772899139297
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0.10204481074802807,0.42640105872088374,0.4240113420840387,0.8979551892519719,0.5735989412791163,0.5759886579159613
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0.2088767560948347,0.125830759903792,0.9133955226352884,0.7911232439051653,0.874169240096208,0.08660447736471155
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,0.16130951788499626,0.10684190956922368,0.3724801214317499,0.8386904821150037,0.8931580904307763,0.6275198785682501
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0.6531083254653984,0.5418418404493104,0.7244615154964198,0.34689167453460157,0.4581581595506896,0.2755384845035802
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0.2532916025397821,0.6370701534375911,0.61536444070697,0.7467083974602179,0.3629298465624089,0.38463555929302995
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0.4663107728563063,0.09213067032783129,0.038461668023950346,0.5336892271436937,0.9078693296721687,0.9615383319760497
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0.24442559200160274,0.13943224378839747,0.46014857153105004,0.7555744079983973,0.8605677562116025,0.53985142846895
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0.15896958364551972,0.0324427510234675,0.6725455997253357,0.8410304163544803,0.9675572489765325,0.3274544002746643
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0.11037514116430513,0.1624086978618533,0.3098672227762683,0.8896248588356949,0.8375913021381467,0.6901327772237317
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,0.6563295894652734,0.22257752087383142,0.736023943688105,0.3436704105347266,0.7774224791261686,0.263976056311895
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0.1381829513486138,0.6907030954530314,0.9348728415957771,0.8618170486513862,0.30929690454696857,0.0651271584042229
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0.1965823616800535,0.06521464721662573,0.27044856559348873,0.8034176383199465,0.9347853527833743,0.7295514344065113
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0.3687251706609641,0.6874065091367177,0.587684065482014,0.6312748293390359,0.31259349086328225,0.412315934517986
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0.8209932298479351,0.4054284736618601,0.013995926625674171,0.1790067701520649,0.5945715263381399,0.9860040733743258
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0.09710127579306127,0.14295372332381318,0.6330099749126077,0.9028987242069387,0.8570462766761868,0.3669900250873923
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0.8379449074988039,0.9823291732815804,0.5112335612884831,0.1620550925011961,0.017670826718419574,0.4887664387115169
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0.09609840789396307,0.5042690220829461,0.38077541974116325,0.9039015921060369,0.4957309779170539,0.6192245802588368
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0.9764594650133958,0.29418427752976095,0.9040274891141186,0.023540534986604245,0.705815722470239,0.09597251088588143
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0.4686512016477016,0.05550517143877076,0.9409761468323745,0.5313487983522984,0.9444948285612292,0.059023853167625484
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,0.9767610881903371,0.314321644093269,0.3390115091226249,0.023238911809662866,0.685678355906731,0.6609884908773751
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0.604845519745046,0.612456231292083,0.5322388163671824,0.39515448025495403,0.38754376870791696,0.4677611836328176
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0.7392635793983017,0.24577291188754258,0.08949601299004706,0.2607364206016983,0.7542270881124574,0.9105039870099529
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0.039187792254320675,0.5692414509599115,0.5322328334140901,0.9608122077456793,0.4307585490400885,0.4677671665859099
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0.2828069625764096,0.27827812639555205,0.8797201544002657,0.7171930374235904,0.721721873604448,0.12027984559973426
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0.1201965612131689,0.044454427415527076,0.20058324673285766,0.8798034387868311,0.9555455725844729,0.7994167532671423
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0.29614019752214493,0.4131662619022365,0.048146555814967296,0.7038598024778551,0.5868337380977635,0.9518534441850327
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0.11872771895424405,0.35662028771018583,0.39238305356059977,0.881272281045756,0.6433797122898142,0.6076169464394002
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0.317983179393976,0.2458901595699735,0.19969385777028992,0.682016820606024,0.7541098404300265,0.8003061422297101
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0.41426299451466997,0.528971831559372,0.2868429083015285,0.58573700548533,0.471028168440628,0.7131570916984715
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0.06414749634878436,0.3896228243222045,0.9257859727176406,0.9358525036512156,0.6103771756777955,0.07421402728235937
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0.6924721193700198,0.9499454677980209,0.8749212155476992,0.30752788062998015,0.050054532201979085,0.1250787844523008
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0.5666014542065752,0.6212291234152575,0.3325081533181006,0.43339854579342485,0.3787708765847425,0.6674918466818994
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0.2653894909394454,0.35815414292870407,0.9015604099638621,0.7346105090605546,0.6418458570712959,0.09843959003613789
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0.5232480534666997,0.21433669344558237,0.840228551007557,0.47675194653330033,0.7856633065544176,0.159771448992443
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,0.09394051075844168,0.6651238586443668,0.9801866737032967,0.9060594892415583,0.33487614135563315,0.019813326296703293
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0.5759464955561793,0.9201287191483511,0.526867880370115,0.42405350444382073,0.07987128085164885,0.473132119629885
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0.9292961975762141,0.6271131107238481,0.5219092620781517,0.07070380242378593,0.3728868892761519,0.4780907379218483
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0.31856895245132366,0.8293922426438064,0.9442711361532523,0.6814310475486763,0.1706077573561936,0.05572886384674769
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0.6674103799636817,0.6842286710979711,0.8817342295528654,0.3325896200363183,0.31577132890202886,0.1182657704471346
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0.13179786240439217,0.9471815045084812,0.9565864128215693,0.8682021375956078,0.052818495491518846,0.04341358717843069
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,0.7163272041185655,0.4072089061079942,0.3477059785518961,0.28367279588143446,0.5927910938920058,0.6522940214481039
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0.2894060929472011,0.7727252481591473,0.439429950092897,0.7105939070527989,0.22727475184085266,0.560570049907103
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,0.18319136200711683,0.5091859687217706,0.7945426566617678,0.8168086379928832,0.4908140312782294,0.20545734333823218
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0.5865129348100832,0.049491467155628355,0.6274963450126078,0.41348706518991685,0.9505085328443716,0.37250365498739224
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,0.020107546187493552,0.01326224025357714,0.05273957771693005,0.9798924538125064,0.9867377597464229,0.94726042228307
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0.8289400292173631,0.42512346502480713,0.8866081812860056,0.1710599707826369,0.5748765349751929,0.1133918187139944
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,0.004695476192547066,0.6599743904892813,0.5296178095798064,0.9953045238074529,0.3400256095107187,0.4703821904201936
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0.6778165367962301,0.8632725373864257,0.4009951572277717,0.3221834632037699,0.13672746261357427,0.5990048427722283
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0.27000797319216485,0.03262315972596708,0.7579862109842054,0.7299920268078351,0.9673768402740329,0.24201378901579462
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,0.7351940221225949,0.9418441013255289,0.10254432243790201,0.2648059778774051,0.05815589867447113,0.897455677562098
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,0.9621885451174382,0.8847605119887776,0.48108843308987315,0.03781145488256177,0.11523948801122241,0.5189115669101269
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,0.24875314351995803,0.8736172045979286,0.5655310878117835,0.751246856480042,0.12638279540207142,0.4344689121882165
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0.5761573344178369,0.6426697809614524,0.293087827474106,0.4238426655821631,0.35733021903854756,0.706912172525894
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,0.592041931271839,0.46665806233093166,0.783152187442063,0.407958068728161,0.5333419376690683,0.21684781255793695
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,0.5722519057908734,0.8039939440351594,0.9379580287319159,0.42774809420912663,0.19600605596484055,0.062041971268084084
